race,driver_name,predicted_rank
Dutch Grand Prix,Lance STROLL,1.0
Dutch Grand Prix,Oliver BEARMAN,2.0
Dutch Grand Prix,Nico HULKENBERG,3.0
Dutch Grand Prix,Franco COLAPINTO,4.0
Dutch Grand Prix,Esteban OCON,5.0
Dutch Grand Prix,Pierre GASLY,6.0
Dutch Grand Prix,Liam LAWSON,7.0
Dutch Grand Prix,Alexander ALBON,8.0
Dutch Grand Prix,Gabriel BORTOLETO,9.0
Dutch Grand Prix,Yuki TSUNODA,10.0
Dutch Grand Prix,Isack HADJAR,11.0
Dutch Grand Prix,Kimi ANTONELLI,12.0
Dutch Grand Prix,Fernando ALONSO,13.0
Dutch Grand Prix,Carlos SAINZ,14.0
Dutch Grand Prix,Lewis HAMILTON,15.0
Dutch Grand Prix,Oscar PIASTRI,16.0
Dutch Grand Prix,Lando NORRIS,17.0
Dutch Grand Prix,George RUSSELL,18.0
Dutch Grand Prix,Charles LECLERC,19.0
Dutch Grand Prix,Max VERSTAPPEN,20.0
